local,visitor,period,time,player,action,side,score_home,score_away
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,02:46,"PLACINSCHI, CESARE",Out,U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,02:46,"CURBELO, VALENTIN",In,U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,02:51,"MACHETTI, MARIO",Two Pointer (2/2 - 4 pt),U18 Dolomiti Energia Trento,16,16
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,03:05,"PLACINSCHI, CESARE",Def Rebound (2),U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,03:09,"PRATO, IVAN",Missed Three Pointer (1/2 - 3 pt),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,03:22,"LUMENA, PRINCE",Two Pointer (1/1 - 2 pt),U18 Dolomiti Energia Trento,14,16
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,03:22,"LUMENA, PRINCE",Off Rebound (1),U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,03:25,"TRIGGIANI, VITTORIO",Missed Three Pointer (0/1 - 2 pt),U18 Dolomiti Energia Trento,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,03:35,"DEFOUNDOUX, SACHA",Assist (1),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,03:38,"LAZARSKI, BARTOSZ",Three Pointer (1/1 - 3 pt),U18 Next Gen Team Belgrade,12,16
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,04:03,"MACHETTI, MARIO",Two Pointer (1/1 - 2 pt),U18 Dolomiti Energia Trento,12,13
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,04:17,"LAZARSKI, BARTOSZ",Assist (1),U18 Next Gen Team Belgrade,,
U18 Dolomiti Energia Trento,U18 Next Gen Team Belgrade,1er Cuarto,04:19,"PRATO, IVAN",Three Pointer (1/1 - 3 pt),U18 Next Gen Team Belgrade,10,13
