local,visitor,period,time,player,action,side,score_home,score_away
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,02:19,"LAZARSKI, BARTOSZ",Foul Drawn (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,02:19,"SOLIMAN, NATHAN",Foul (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,02:24,"LAZARSKI, BARTOSZ",Def Rebound (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,02:28,"MASDIEU-REYNAERT, YAEL",Missed Three Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,02:39,"MASDIEU-REYNAERT, YAEL",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,02:44,"NAJI, AKRAM",Missed Three Pointer (0/1 - 2 pt),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,02:59,"KATANOVIC, BORNA",Def Rebound (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,03:03,"HOUINDO, CAMERON",Missed Two Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,03:23,"LAZARSKI, BARTOSZ",In,U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,03:23,"TOWO-NANSI, AARON",Out,U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,03:23,"HOUINDO, CAMERON",Foul Drawn (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,03:23,"NAJI, AKRAM",Foul (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,03:23,,Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,03:24,"TOWO-NANSI, AARON",Missed Three Pointer (0/2 - 2 pt),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,03:42,"SOLIMAN, NATHAN",Three Pointer (1/2 - 3 pt),U18 Pole France INSEP Paris,11,14
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,03:52,"NAJI, AKRAM",Two Pointer (1/1 - 2 pt),U18 Next Gen Team Belgrade,11,11
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,03:52,"NAJI, AKRAM",Off Rebound (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,03:58,"STOLBETSKIY, DANIIL",Missed Two Pointer (0/1 - 0 pt),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:10,"ELOUMA, JUNIOR",In,U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:10,"YIMGA MOUKOURI, HUGO",Out,U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:10,"TOMANN, KAUR",Out,U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:10,"STOLBETSKIY, DANIIL",In,U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:10,"TOWO-NANSI, AARON",Foul Drawn (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:10,"MASDIEU-REYNAERT, YAEL",Foul (1),U18 Pole France INSEP Paris,,
