local,visitor,period,time,player,action,side,score_home,score_away
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:31,"ARTMENKO, GABRIEL",Free Throw In (2/3 - 4 pt),U18 Maccabi Tel Aviv,19,21
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:31,"EL HADJI, MBOW",Out,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:31,"CORTELLINO, GIOVANNI",In,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:31,"ASHKENAZI, KEREM",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:31,"BARAK, ERAN",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:31,"ARTMENKO, GABRIEL",Foul Drawn (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:31,"EL HADJI, MBOW",Foul (2),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:33,,Off Rebound (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:33,"BARAK, ERAN",Missed Three Pointer (1/5 - 5 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:43,"LONATI, ACHILLE",Assist (3),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:45,"KAREM, OMAR",Three Pointer (1/1 - 3 pt),U18 EA7 Emporio Armani Milan,18,21
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,02:59,"LACHMANOVICH, ARBEL",Assist (3),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,03:01,"BARAK, ERAN",Three Pointer (1/4 - 5 pt),U18 Maccabi Tel Aviv,18,18
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,03:19,"LACHMANOVICH, ARBEL",Def Rebound (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,03:21,"YOUSSEF, GUGLIELMO",Missed Three Pointer (0/1 - 4 pt),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,03:34,"SUIGO, LUIGI",Out,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,03:34,"YOUSSEF, GUGLIELMO",In,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,03:34,,Time Out (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,03:34,"SHALMON, IFTAH",Assist (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,03:34,"BARAK, ERAN",Two Pointer (1/1 - 2 pt),U18 Maccabi Tel Aviv,15,18
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,03:46,"ARTMENKO, GABRIEL",Def Rebound (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,03:49,"GARAVAGLIA, DIEGO",Missed Three Pointer (0/2 - 2 pt),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:12,"LACHMANOVICH, ARBEL",Assist (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:12,"ARTMENKO, GABRIEL",Free Throw In (1/2 - 3 pt),U18 Maccabi Tel Aviv,13,18
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:12,"ARTMENKO, GABRIEL",Missed Free Throw (0/1 - 2 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:12,"ARTMENKO, GABRIEL",Foul Drawn (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:12,"EL HADJI, MBOW",Foul (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:28,"GARAVAGLIA, DIEGO",Free Throw In (2/2 - 2 pt),U18 EA7 Emporio Armani Milan,12,18
