local,visitor,period,time,player,action,side,score_home,score_away
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,01:26,"HASSAN, PATRICK",Missed Two Pointer (0/4 - 1 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,01:36,"MACHETTI, MARIO",Steal (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,01:37,"FAYE, MEISSA",Turnover (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,01:39,"FAYE, MEISSA",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,01:43,"PLACINSCHI, CESARE",Missed Three Pointer (0/1 - 2 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,01:57,"CLAPS, MATTIA",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,01:59,"NTOWOA, ELIE",Missed Two Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,02:16,"SOLIMAN, NATHAN",Def Rebound (3),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,02:19,"HASSAN, PATRICK",Missed Two Pointer (0/3 - 1 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,02:41,,Time Out (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,02:42,"GABRIEL DES BORDES, NATEO",Assist (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,02:42,"SOLIMAN, NATHAN",Two Pointer (4/5 - 8 pt),U18 Pole France INSEP Paris,17,5
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,02:50,"NTOWOA, ELIE",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,02:53,"LUMENA, PRINCE",Missed Two Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,02:53,"LUMENA, PRINCE",Off Rebound (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,02:59,"MACHETTI, MARIO",Missed Two Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:07,"CLAPS, MATTIA",In,U18 Dolomiti Energia Trento,,
