local,visitor,period,time,player,action,side,score_home,score_away
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,01:45,"DEL CASTILLO, ERIC",Missed Two Pointer (1/3 - 2 pt),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:01,"STOJKOVIC, LAZAR",Free Throw In (1/1 - 5 pt),U18 Crvena Zvezda Belgrade,20,11
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:01,"STOJKOVIC, LAZAR",Foul Drawn (2),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:01,"BERMEJO, PAU",Foul (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:02,"NEDELJKOVIC, ALEKSEJ",Assist (2),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:02,"STOJKOVIC, LAZAR",Two Pointer (2/3 - 4 pt),U18 Crvena Zvezda Belgrade,19,11
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:20,"DEL CASTILLO, ERIC",Assist (2),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:20,"BERMEJO, PAU",Free Throw In (1/2 - 1 pt),U18 Joventut Badalona,17,11
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:20,"BERMEJO, PAU",Missed Free Throw (0/1 - 0 pt),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:20,"BERMEJO, PAU",Foul Drawn (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:20,"BIKIC, JOVAN",Foul (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:27,"BALDE, DANIEL",Def Rebound (3),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:29,"STOJKOVIC, LAZAR",Missed Two Pointer (1/2 - 2 pt),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:40,"PETROVICS, HELMUTS",Out,U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:40,"BERMEJO, PAU",In,U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:40,"PLATTEEUW, IAN",Out,U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:40,"RUIZ, HUMBERTO",In,U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:40,"MARJANOVIC, STEFAN",Out,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:40,"BIKIC, JOVAN",In,U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:40,"PETROVICS, HELMUTS",Turnover (2),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,02:59,"STOJKOVIC, LAZAR",Two Pointer (1/1 - 2 pt),U18 Crvena Zvezda Belgrade,17,10
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,03:17,"PETROVICS, HELMUTS",Two Pointer (1/2 - 2 pt),U18 Joventut Badalona,15,10
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,03:40,"BALDE, DANIEL",Def Rebound (2),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,03:42,"STOJKOVIC, LAZAR",Missed Three Pointer (0/2 - 0 pt),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,04:07,,Def Rebound (2),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,04:07,"PLATTEEUW, IAN",Missed Two Pointer (1/2 - 2 pt),U18 Joventut Badalona,,
