local,visitor,period,time,player,action,side,score_home,score_away
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,02:42,"MIJAILOVIC, UROS",Steal (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,02:44,"MAHOP, MATTHYS",Turnover (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:05,"BOJOVIC, LUKAS NIKOLA",Free Throw In (2/2 - 2 pt),U18 Partizan Mozzart Bet Belgrade,15,9
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:05,"BOJOVIC, LUKAS NIKOLA",Free Throw In (1/1 - 1 pt),U18 Partizan Mozzart Bet Belgrade,15,8
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:05,"MASDIEU-REYNAERT, YAEL",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:05,"MAHOP, MATTHYS",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:05,"BOJOVIC, LUKAS NIKOLA",Foul Drawn (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:05,"ELOUMA, JUNIOR",Foul (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:21,"SIJARIC, DARIS",Def Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:24,"MASDIEU-REYNAERT, YAEL",Missed Three Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:35,"HOUINDO, CAMERON",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:35,"SOLIMAN, NATHAN",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:34,"ELOUMA, JUNIOR",Foul Drawn (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:34,"MIJAILOVIC, UROS",Foul (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:34,"HOUINDO, CAMERON",Steal (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:35,"KOJIC, ALEKSA",Turnover (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:55,"FAYE, MEISSA",Assist (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,03:57,"HOUINDO, CAMERON",Three Pointer (1/1 - 5 pt),U18 Pole France INSEP Paris,15,7
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:10,"MIRKOVIC, ZIVKO",Out,U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:10,"MIJAILOVIC, UROS",In,U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:10,"NTOWOA, ELIE",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:10,"YIMGA MOUKOURI, HUGO",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:10,,Off Rebound (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:10,"YIMGA MOUKOURI, HUGO",Missed Two Pointer (2/3 - 4 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:10,"YIMGA MOUKOURI, HUGO",Off Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:12,"MASDIEU-REYNAERT, YAEL",Missed Two Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:32,"SIJARIC, DARIS",Free Throw In (2/2 - 4 pt),U18 Partizan Mozzart Bet Belgrade,12,7
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:32,"SIJARIC, DARIS",Free Throw In (1/1 - 3 pt),U18 Partizan Mozzart Bet Belgrade,12,6
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:32,"SIJARIC, DARIS",Foul Drawn (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:32,"FAYE, MEISSA",Foul (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:32,"SIJARIC, DARIS",Off Rebound (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:33,"MIRKOVIC, ZIVKO",Missed Three Pointer (0/1 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,04:58,"MASDIEU-REYNAERT, YAEL",Assist (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:00,"FAYE, MEISSA",Two Pointer (1/1 - 2 pt),U18 Pole France INSEP Paris,12,5
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:10,"ELOUMA, JUNIOR",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:10,"KOUAKOU-HEUGUE, NOA",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:10,"HOUINDO, CAMERON",Foul Drawn (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:10,"BOJOVIC, LUKAS NIKOLA",Foul (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:20,"MIRKOVIC, ZIVKO",Assist (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:22,"SIJARIC, DARIS",Two Pointer (1/3 - 2 pt),U18 Partizan Mozzart Bet Belgrade,10,5
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:43,"KOUAKOU-HEUGUE, NOA",Free Throw In (2/2 - 2 pt),U18 Pole France INSEP Paris,10,3
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:43,"MAHOP, MATTHYS",Assist (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:43,"KOUAKOU-HEUGUE, NOA",Free Throw In (1/1 - 1 pt),U18 Pole France INSEP Paris,9,3
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:43,"DANILOVIC, UROS",Out,U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:43,"BOJOVIC, LUKAS NIKOLA",In,U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:43,"MASDIEU-REYNAERT, YAEL",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:43,"MAHOP, MATTHYS",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:43,,Time Out (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:43,"KOUAKOU-HEUGUE, NOA",Foul Drawn (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:43,"KOJIC, ALEKSA",Foul (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:46,"MAHOP, MATTHYS",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,05:48,"MIRKOVIC, ZIVKO",Missed Two Pointer (0/2 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,06:01,"HOUINDO, CAMERON",Two Pointer (1/2 - 2 pt),U18 Pole France INSEP Paris,8,3
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,06:01,"HOUINDO, CAMERON",Off Rebound (2),U18 Pole France INSEP Paris,,
